,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hay River,60.8156,-115.7999,85.98,39,75,2.3,CA,1627845899
1,Prince Rupert,54.3161,-130.3201,60.49,94,90,3.44,CA,1627845900
2,Ushuaia,-54.8,-68.3,46.06,57,0,6.91,AR,1627845900
3,Busselton,-33.65,115.3333,52.56,76,100,8.21,AU,1627845900
4,Mataura,-46.1927,168.8643,40.48,98,64,3.74,NZ,1627845900
5,Rohnert Park,38.3396,-122.7011,86.02,52,0,4.0,US,1627845900
6,Sørland,67.667,12.6934,46.47,73,91,11.7,NO,1627845901
7,Nikolskoye,59.7035,30.7861,64.4,69,6,9.13,RU,1627845901
8,Cape Town,-33.9258,18.4232,59.11,79,40,1.14,ZA,1627845779
9,Jamestown,42.097,-79.2353,69.39,88,75,1.99,US,1627845901
10,Richards Bay,-28.783,32.0377,63.81,76,4,4.0,ZA,1627845901
11,Mâncio Lima,-7.6142,-72.8958,89.67,48,75,6.91,BR,1627845901
12,Aklavik,68.2191,-135.0107,84.92,34,40,9.22,CA,1627845902
13,Vaini,-21.2,-175.2,68.16,94,40,13.8,TO,1627845902
14,George Town,5.4112,100.3354,76.95,89,20,1.01,MY,1627845902
15,Namuac,18.6109,121.1657,81.7,78,100,7.23,PH,1627845902
16,Bredasdorp,-34.5322,20.0403,56.52,72,80,6.91,ZA,1627845902
17,Punta Arenas,-53.15,-70.9167,48.31,61,40,13.8,CL,1627845790
18,Half Moon Bay,37.4636,-122.4286,84.54,66,20,9.22,US,1627845903
19,St. George's,12.0564,-61.7485,85.68,79,20,19.57,GD,1627845904
20,Rikitea,-23.1203,-134.9692,69.33,59,100,23.89,PF,1627845905
21,Daura,11.5538,11.4085,77.34,79,81,3.91,NG,1627845905
22,Bandarbeyla,9.4942,50.8122,78.06,81,1,27.11,SO,1627845905
23,Mehamn,71.0357,27.8492,49.91,98,100,10.13,NO,1627845906
24,Querfurt,51.3833,11.6,65.57,82,74,6.33,DE,1627845906
25,South Lake Tahoe,38.9332,-119.9844,86.07,41,20,10.36,US,1627845906
26,Hithadhoo,-0.6,73.0833,81.45,71,97,5.3,MV,1627845906
27,Ponta do Sol,32.6667,-17.1,75.7,74,3,4.85,PT,1627845906
28,Coruripe,-10.1256,-36.1756,75.29,74,19,16.37,BR,1627845906
29,East London,-33.0153,27.9116,63.81,57,10,15.9,ZA,1627845815
30,Kumul,42.8,93.45,69.06,45,80,8.16,CN,1627845907
31,Port Elizabeth,-33.918,25.5701,59.29,77,40,27.63,ZA,1627845907
32,Cidreira,-30.1811,-50.2056,59.74,76,92,8.28,BR,1627845907
33,Bluff,-46.6,168.3333,40.8,89,89,9.06,NZ,1627845907
34,São Filipe,14.8961,-24.4956,76.23,76,17,9.82,CV,1627845907
35,Kolondiéba,11.0882,-6.8926,73.72,93,35,4.36,ML,1627845907
36,Provideniya,64.3833,-173.3,41.79,90,100,14.0,RU,1627845721
37,Yangi Marg`ilon,40.4272,71.7189,83.12,28,100,16.11,UZ,1627845908
38,Hilo,19.7297,-155.09,75.79,91,93,5.99,US,1627845908
39,Porto Santo,33.072,-16.3415,73.31,73,40,12.66,PT,1627845908
40,Bethel,41.3712,-73.414,77.68,70,75,10.36,US,1627845908
41,Dikson,73.5069,80.5464,39.36,98,97,4.52,RU,1627845909
42,Chui,-33.6971,-53.4616,56.35,75,30,5.95,UY,1627845909
43,Saint-Augustin,51.226,-58.6502,64.63,67,92,21.12,CA,1627845909
44,Hobyo,5.3505,48.5268,78.35,78,5,24.56,SO,1627845909
45,Saint-Leu,-21.15,55.2833,67.03,69,20,2.24,RE,1627845909
46,Hobart,-42.8794,147.3294,38.05,87,11,3.0,AU,1627845909
47,Kahului,20.8947,-156.47,83.46,69,20,19.57,US,1627845808
48,Vieste,41.8825,16.175,90.1,43,88,12.57,IT,1627845910
49,Saskylakh,71.9167,114.0833,65.25,49,0,5.37,RU,1627845910
50,Castro,-24.7911,-50.0119,57.2,63,69,4.07,BR,1627845910
51,Puerto Ayora,-0.7393,-90.3518,76.96,86,50,4.0,EC,1627845910
52,Sydney,-33.8679,151.2073,49.39,83,20,5.01,AU,1627845780
53,Lüderitz,-26.6481,15.1594,67.75,36,0,11.14,NA,1627845911
54,Clyde River,70.4692,-68.5914,43.03,87,90,13.8,CA,1627845911
55,Santo Tomas,14.1079,121.1414,81.57,86,100,7.99,PH,1627845911
56,Atuona,-9.8,-139.0333,76.69,72,54,13.24,PF,1627845911
57,Sakakah,29.9697,40.2064,94.57,11,0,10.4,SA,1627845911
58,San Javier,37.8063,-0.8374,78.64,74,75,4.0,ES,1627845911
59,Sur,22.5667,59.5289,91.42,53,100,15.41,OM,1627845911
60,Kodinsk,58.6881,99.1844,57.0,97,100,4.76,RU,1627845912
61,Saint George,37.1041,-113.5841,94.78,33,1,3.0,US,1627845912
62,Albany,42.6001,-73.9662,76.87,68,55,8.1,US,1627845912
63,Penzance,50.1186,-5.5371,60.01,80,78,12.84,GB,1627845912
64,Sampit,-2.5333,112.95,73.15,97,30,1.5,ID,1627845912
65,Yangambi,0.8102,24.4336,73.99,79,100,2.98,CD,1627845912
66,Bubaque,11.2833,-15.8333,79.09,83,69,18.07,GW,1627845912
67,Ancud,-41.8697,-73.8203,51.33,63,68,3.98,CL,1627845913
68,Shingū,33.7333,135.9833,78.91,91,100,2.89,JP,1627845913
69,Angola,-12.5,18.5,58.6,33,0,2.66,AO,1627845913
70,Vostok,46.4856,135.8833,60.55,96,4,4.25,RU,1627845913
71,Mogadishu,2.0371,45.3438,75.92,85,76,20.65,SO,1627845618
72,Qaanaaq,77.484,-69.3632,43.12,80,81,1.19,GL,1627845913
73,Nuevo Progreso,23.1667,-97.95,94.59,49,4,8.01,MX,1627845914
74,Angoram,-4.0625,144.0661,71.83,99,29,2.59,PG,1627845914
75,Hong Kong,22.2855,114.1577,85.96,88,99,1.99,HK,1627845914
76,Chokurdakh,70.6333,147.9167,34.34,81,19,6.13,RU,1627845914
77,Hermanus,-34.4187,19.2345,58.89,80,97,7.27,ZA,1627845914
78,Kapaa,22.0752,-159.319,80.92,79,75,5.01,US,1627845914
79,Aztec,36.8222,-107.9929,83.59,30,59,3.96,US,1627845914
80,Upernavik,72.7868,-56.1549,44.2,75,33,13.2,GL,1627845915
81,Bambous Virieux,-20.3428,57.7575,70.21,83,75,13.8,MU,1627845915
82,São João da Barra,-21.6403,-41.0511,71.69,60,88,10.31,BR,1627845915
83,Tigil',57.8,158.6667,47.19,90,100,6.53,RU,1627845915
84,Esperance,-33.8667,121.9,51.64,57,93,25.05,AU,1627845915
85,Sainte-Maxime,43.3,6.6333,82.44,40,18,21.83,FR,1627845915
86,Quryq,43.2,51.65,85.42,33,0,7.27,KZ,1627845915
87,Taihecun,45.8,130.85,70.03,92,19,4.52,CN,1627845916
88,Tambun,-6.2641,107.0712,81.48,85,8,1.68,ID,1627845916
89,Maceió,-9.6658,-35.7353,76.44,78,75,13.8,BR,1627845916
90,Matara,5.9485,80.5353,78.89,86,100,9.51,LK,1627845916
91,Vilyuysk,63.7553,121.6247,62.1,64,87,5.08,RU,1627845916
92,Yellowknife,62.456,-114.3525,85.32,28,1,1.01,CA,1627845916
93,Sandy Bay,-42.913,147.3532,38.08,87,12,4.0,AU,1627845917
94,Mormugao,15.4,73.8,76.26,94,90,6.91,IN,1627845917
95,San Angelo,31.4638,-100.437,89.82,45,1,14.0,US,1627845917
96,Longyearbyen,78.2186,15.6401,46.24,71,75,16.11,SJ,1627845917
97,Talnakh,69.4865,88.3972,54.14,92,100,5.32,RU,1627845917
98,Lorengau,-2.0226,147.2712,82.18,76,95,9.48,PG,1627845918
99,Dessie,11.1333,39.6333,56.39,84,64,1.79,ET,1627845918
100,Mangan,27.5167,88.5333,76.86,95,99,0.58,IN,1627845918
101,Tasiilaq,65.6145,-37.6368,59.16,80,3,6.15,GL,1627845918
102,Vao,-22.6667,167.4833,66.13,59,68,13.91,NC,1627845918
103,Ciudad Bolivar,8.1222,-63.5497,83.84,70,51,9.78,VE,1627845918
104,Ballina,-28.8667,153.5667,66.16,88,40,9.22,AU,1627845919
105,Evensk,61.95,159.2333,43.34,86,100,16.87,RU,1627845919
106,Adrar,20.5022,-10.0711,102.09,18,33,8.59,MR,1627845919
107,Port Alfred,-33.5906,26.891,61.83,74,19,25.86,ZA,1627845919
108,Gur'yevsk,54.2833,85.9333,63.25,64,74,4.54,RU,1627845906
109,Erlenbach,49.1725,9.2683,64.81,84,100,10.04,DE,1627845920
110,Bucerías,20.75,-105.3333,90.99,58,20,12.66,MX,1627845920
111,Ferkessédougou,9.6,-5.2,73.78,92,100,5.08,CI,1627845920
112,Lompoc,34.6391,-120.4579,90.12,68,1,13.8,US,1627845920
113,Ilulissat,69.2167,-51.1,57.22,41,0,5.75,GL,1627845920
114,Arlit,18.7369,7.3853,97.61,26,28,10.11,NE,1627845920
115,Praia,14.9215,-23.5087,81.14,54,40,13.8,CV,1627845921
116,Saint Paul Harbor,57.79,-152.4072,60.31,82,90,6.91,US,1627845921
117,Avarua,-21.2078,-159.775,77.05,78,90,24.16,CK,1627845921
118,Khatanga,71.9667,102.5,62.56,67,68,8.55,RU,1627845921
119,Kindu,-2.95,25.95,78.75,40,100,2.13,CD,1627845682
120,Igrim,63.1906,64.4162,57.7,94,75,2.55,RU,1627845921
121,Puebloviejo,10.9938,-74.2844,94.48,64,12,10.04,CO,1627845921
122,Tautira,-17.7333,-149.15,78.82,62,79,8.84,PF,1627845922
123,San Jose,37.3394,-121.895,86.86,51,20,3.44,US,1627845922
124,Karratha,-20.7377,116.8463,61.74,40,0,12.17,AU,1627845922
125,Santa Helena,-2.2311,-45.3,81.93,69,100,2.13,BR,1627845922
126,Yaan,7.3833,8.5667,71.74,97,100,6.67,NG,1627845923
127,Mahébourg,-20.4081,57.7,70.25,83,75,13.8,MU,1627845923
128,Golden,39.7555,-105.2211,79.38,46,75,3.0,US,1627845923
129,Linxia Chengguanzhen,35.6003,103.2064,65.89,54,19,3.98,CN,1627845923
130,Porto-Novo,6.4965,2.6036,78.62,80,28,6.98,BJ,1627845883
131,Vardø,70.3705,31.1107,56.95,93,75,9.22,NO,1627845923
132,Goundam,16.4145,-3.6708,93.92,36,4,6.35,ML,1627845923
133,Mundi,22.0667,76.5,76.87,82,100,14.63,IN,1627845924
134,Manokwari,-0.8667,134.0833,78.01,82,89,1.83,ID,1627845924
135,Yebaishou,41.3975,119.6408,63.32,91,9,7.4,CN,1627845924
136,Oranjemund,-28.55,16.4333,58.93,65,1,8.08,NA,1627845924
137,Codrington,-38.2667,141.9667,43.34,89,0,14.2,AU,1627845924
138,Morehead,37.2711,-87.1764,84.83,61,1,9.22,US,1627845924
139,Cobija,-11.0267,-68.7692,87.98,55,40,6.91,BO,1627845924
140,Tuktoyaktuk,69.4541,-133.0374,69.8,68,75,13.8,CA,1627845925
141,Butaritari,3.0707,172.7902,82.99,69,16,10.02,KI,1627845925
142,Vanavara,60.34,102.2797,54.79,62,45,4.81,RU,1627845925
143,Caraballeda,10.6112,-66.8522,89.67,62,40,4.61,VE,1627845925
144,Barrow,71.2906,-156.7887,50.02,85,90,19.57,US,1627845925
145,Mabama,-5.1333,32.5333,69.91,35,53,3.94,TZ,1627845926
146,Mar del Plata,-38.0023,-57.5575,54.09,93,20,1.01,AR,1627845926
147,Ugoofaaru,5.6667,73.0,82.89,73,100,12.84,MV,1627845926
148,Lebu,-37.6167,-73.65,54.34,67,6,17.74,CL,1627845926
149,Sisimiut,66.9395,-53.6735,58.39,53,0,8.03,GL,1627845926
150,Saldanha,-33.0117,17.9442,48.25,90,49,9.57,ZA,1627845668
151,Ko Samui,9.5357,99.9357,82.38,77,100,17.92,TH,1627845927
152,Kieta,-6.2167,155.6333,77.61,84,12,2.51,PG,1627845927
153,Banjarmasin,-3.3244,114.591,75.34,89,81,1.25,ID,1627845927
154,Airai,-8.9266,125.4092,55.78,85,28,2.77,TL,1627845927
